Weather,City,Subservice,Service,Price
Extreme,Noida,New wiring with casing (per 5m),Microwave Repair,415.32
Extreme,Jaipur,New wiring without casing (per 5m),Refrigerator Repair,438.78
Fine,Ahemdabad,Mini home theater installation,Refrigerator Repair,108.8
Extreme,Haridwar,Four Pole MCB Installation,Refrigerator Repair,211.1
Extreme,Rishikesh,Triple Pole MCB Installation,Shave/beard grooming,90.93
Fine,Dehradun,Switch/socket replacement,Chimney Repair,243.8
Fine,Ahemdabad,Geyser Uninstallation,Plumber,477.06
Extreme,Delhi,Bulb,Shave/beard grooming,260.42
Fine,Lucknow,Inverter PCB Card Replacement,Kitchen cleaning,318.96
Fine,Lucknow,Single pole MCB installation,Washing Machine Repair,285.47
Extreme,Rishikesh,Cavity sensor,Kitchen cleaning,187.9
Fine,Ahemdabad,Door bell installation,Chimney Repair,405.63
Extreme,Lucknow,Cavity sensor,Plumber,451.95
Fine,Noida,Single pole MCB installation,Home painting,449.02
Fine,Dehradun,3 Phase changeover switch installation,Men/kids haircut,362.59
Fine,Noida,Decorative Lights Uninstallation (per 5m),Electrician,192.91
Extreme,Jaipur,Decorative Lights Uninstallation (per 5m),Shave/beard grooming,143.45
Extreme,Lucknow,MCB fuse replacement,AC Repair Service,74.7
Extreme,Jaipur,New wiring without casing (per 5m),AC Repair Service,341.47
Extreme,Lucknow,Single battery inverter installation,Washing Machine Repair,482.57
Extreme,Delhi,Fan repair,Hair colour,391.61
Fine,Dehradun,Bulb Holder Installation,Full home cleaning,246.64
Extreme,Dehradun,Minor fittings installation,Men/kids haircut,351.74
Extreme,Lucknow,Bulb,Full home cleaning,483.8
Fine,Jaipur,Cavity sensor,Massage,444.48
Extreme,Delhi,Material Procurement Charges,Washing Machine Repair,359.31
Fine,Jaipur,Switch/socket replacement,AC Repair Service,63.36
Extreme,Ahemdabad,Material Procurement Charges,Kitchen cleaning,169.36
Fine,Jaipur,Wash basin installation,Refrigerator Repair,208.84
Fine,Delhi,Lights Uninstallation (per 20 m),Water Purifier Repair,372.05
Extreme,Rishikesh,Lantern Installation,Washing Machine Repair,398.47
Fine,Jaipur,Mini home theater installation,Massage,325.73
Extreme,Dehradun,Switch/socket replacement,Plumber,269.15
Fine,Rishikesh,Chandelier installation (upto 6 bulbs),Plumber,210
Fine,Delhi,Shower installation (wall mounted/ hand-held),Microwave Repair,181.36
Extreme,Haridwar,Chandelier installation (more than 6 bulbs),Hair colour,279.55
Fine,Rishikesh,Material Procurement Charges,Home painting,381.04
Extreme,Lucknow,Fan uninstallation,Plumber,250.26
Extreme,Delhi,Wash Basin Leakage Repair,Carpenter,311.96
Fine,Ahemdabad,Ceiling fan regulator replacement,Chimney Repair,282.89
Fine,Ahemdabad,AC switchbox installation,Kitchen cleaning,450.2
Fine,Haridwar,Ceiling fan regulator replacement,Full home cleaning,111.74
Extreme,Delhi,Bulb Holder Installation,Shave/beard grooming,292.06
Extreme,Haridwar,Chandelier installation (upto 6 bulbs),Bathroom cleaning,74.1
Extreme,Lucknow,Decorative Lights Uninstallation (per 5m),Washing Machine Repair,72.06
Fine,Lucknow,Bulbs installation (upto 5 bulbs),Chimney Repair,394.34
