User ID,Service ID,Service Type,Rating,Review
User_382,Service_13,Massage,5,"""Excellent service!"""
User_352,Service_13,Massage,3,"""Could be better."""
User_1939,Service_1,Electrician,4,"""Not happy with the service."""
User_42,Service_2,Plumber,3,"""Could be better."""
User_189,Service_18,Pest control,5,"""Excellent service!"""
User_624,Service_16,Chimney Repair,4,"""Excellent service!"""
User_1159,Service_8,Microwave Repair,3,"""Could be better."""
User_635,Service_15,Kitchen cleaning,1,"""Good job overall."""
User_1581,Service_18,Pest control,3,"""Good job overall."""
User_1161,Service_18,Pest control,5,"""Good job overall."""
User_294,Service_11,Shave/beard grooming,1,"""Not happy with the service."""
User_1446,Service_8,Microwave Repair,5,"""Satisfactory work."""
User_1648,Service_1,Electrician,5,"""Satisfactory work."""
User_470,Service_18,Pest control,4,"""Satisfactory work."""
User_1447,Service_10,Face care,1,"""Excellent service!"""
User_1809,Service_12,Hair colour,4,"""Could be better."""
User_1819,Service_1,Electrician,4,"""Excellent service!"""
User_426,Service_20,Home painting,3,"""Satisfactory work."""
User_123,Service_14,Bathroom cleaning,4,"""Good job overall."""
User_1947,Service_13,Massage,1,"""Satisfactory work."""
User_176,Service_1,Electrician,2,"""Not happy with the service."""
User_681,Service_4,AC Repair Service,4,"""Could be better."""
User_522,Service_8,Microwave Repair,2,"""Excellent service!"""
User_457,Service_7,Water Purifier Repair,1,"""Excellent service!"""
User_1361,Service_15,Kitchen cleaning,4,"""Could be better."""
User_98,Service_14,Bathroom cleaning,3,"""Could be better."""
User_1812,Service_12,Hair colour,4,"""Good job overall."""
User_572,Service_2,Plumber,3,"""Satisfactory work."""
User_629,Service_3,Carpenter,1,"""Satisfactory work."""
User_1852,Service_20,Home painting,1,"""Not happy with the service."""
User_1182,Service_10,Face care,3,"""Could be better."""
User_977,Service_8,Microwave Repair,5,"""Good job overall."""
User_622,Service_16,Chimney Repair,3,"""Not happy with the service."""
User_766,Service_11,Shave/beard grooming,4,"""Satisfactory work."""
User_1349,Service_6,Washing Machine Repair,1,"""Good job overall."""
User_1268,Service_17,Laptop Repair,4,"""Could be better."""
User_1262,Service_1,Electrician,3,"""Could be better."""
User_1287,Service_17,Laptop Repair,1,"""Good job overall."""
User_1113,Service_8,Microwave Repair,4,"""Not happy with the service."""
User_1970,Service_14,Bathroom cleaning,5,"""Excellent service!"""
User_51,Service_15,Kitchen cleaning,4,"""Not happy with the service."""
User_877,Service_16,Chimney Repair,3,"""Good job overall."""
User_767,Service_19,Full home cleaning,5,"""Good job overall."""
User_1180,Service_20,Home painting,2,"""Good job overall."""
User_351,Service_18,Pest control,1,"""Could be better."""
User_1272,Service_5,Refrigerator Repair,1,"""Excellent service!"""
User_431,Service_2,Plumber,5,"""Satisfactory work."""
User_1833,Service_9,Men/kids haircut,2,"""Not happy with the service."""
User_1228,Service_1,Electrician,1,"""Satisfactory work."""
User_1829,Service_13,Massage,4,"""Satisfactory work."""
User_1706,Service_16,Chimney Repair,2,"""Satisfactory work."""
User_1776,Service_7,Water Purifier Repair,4,"""Good job overall."""
User_168,Service_14,Bathroom cleaning,5,"""Not happy with the service."""
User_1209,Service_15,Kitchen cleaning,2,"""Good job overall."""
