Weather,City,Subservice,Service,Price
Fine,Delhi,Triple Pole MCB Installation,Face care,407.5
Fine,Ahemdabad,Timer,Water Purifier Repair,433.17
Extreme,Delhi,Fuse 5 / 15 Amp,Face care,444.03
Fine,Noida,Tap repair,Bathroom cleaning,375.2
Extreme,Jaipur,Bulbs installation (upto 5 bulbs),Water Purifier Repair,302.44
Extreme,Delhi,Lantern Installation,Washing Machine Repair,82.5
Extreme,Noida,Wash Basin Leakage Repair,Carpenter,420.58
Fine,Lucknow,Mini home theater installation,Home painting,302.26
Fine,Delhi,Lights Uninstallation (per 20 m),Water Purifier Repair,472.22
Fine,Lucknow,Replace CFL to LED,Carpenter,160.15
Fine,Jaipur,Tap repair,Home painting,467.96
Fine,Noida,Decorative Lights Installation (per 10m),Men/kids haircut,158.66
Fine,Rishikesh,Four Pole MCB Installation,Carpenter,102.38
Fine,Rishikesh,Wash Basin Leakage Repair,Full home cleaning,463.48
Fine,Jaipur,TV installation (above 48 inches),Bathroom cleaning,399.46
Fine,Jaipur,Decorative Lights Installation (per 15m),Carpenter,454.72
Fine,Haridwar,Switchboard installation,Carpenter,469.6
Extreme,Noida,AC switchbox installation,Carpenter,456.03
Extreme,Ahemdabad,Lights Uninstallation (per 20 m),Men/kids haircut,487.25
Fine,Dehradun,Fan repair,Water Purifier Repair,270.12
Extreme,Haridwar,Waste pipe leakage,Electrician,493.95
Fine,Ahemdabad,Tap installation,Carpenter,300.29
Fine,Rishikesh,Tap repair,Home painting,370.41
Fine,Dehradun,TV installation (above 48 inches),Chimney Repair,341.65
Fine,Lucknow,Bulb holder installation,Men/kids haircut,393.01
Extreme,Lucknow,Bulb,Full home cleaning,361.69
Fine,Noida,Wash basin blockage removal,Pest control,494.28
Fine,Delhi,Lights Uninstallation (per 20 m),Home painting,401.74
Fine,Haridwar,Waste pipe leakage,Refrigerator Repair,77.53
Extreme,Rishikesh,Inverter PCB Card Replacement,Washing Machine Repair,476.22
Extreme,Rishikesh,Fan repair,Face care,278.59
Extreme,Haridwar,Inverter PCB Card Replacement,Home painting,418.73
Fine,Rishikesh,Stabilizer installation,Face care,468.09
Extreme,Jaipur,Fuse 5 / 15 Amp,Shave/beard grooming,448.47
