"﻿Weather,Subservice,City,Service,Price"
"Extreme,New wiring with casing (per 5m),Noida,Microwave Repair,415.32"
"Extreme,New wiring without casing (per 5m),Jaipur,Refrigerator Repair,438.78"
"Fine,Mini home theater installation,Ahemdabad,Refrigerator Repair,108.8"
"Extreme,Four Pole MCB Installation,Haridwar,Refrigerator Repair,211.1"
"Extreme,Triple Pole MCB Installation,Rishikesh,Shave/beard grooming,90.93"
"Fine,Switch/socket replacement,Dehradun,Chimney Repair,243.8"
"Fine,Geyser Uninstallation,Ahemdabad,Plumber,477.06"
"Extreme,Bulb,Delhi,Shave/beard grooming,260.42"
"Fine,Inverter PCB Card Replacement,Lucknow,Kitchen cleaning,318.96"
"Fine,Single pole MCB installation,Lucknow,Washing Machine Repair,285.47"
"Extreme,Cavity sensor,Rishikesh,Kitchen cleaning,187.9"
"Fine,Door bell installation,Ahemdabad,Chimney Repair,405.63"
"Extreme,Cavity sensor,Lucknow,Plumber,451.95"
"Fine,Single pole MCB installation,Noida,Home painting,449.02"
"Fine,3 Phase changeover switch installation,Dehradun,Men/kids haircut,362.59"
"Fine,Decorative Lights Uninstallation (per 5m),Noida,Electrician,192.91"
"Extreme,Decorative Lights Uninstallation (per 5m),Jaipur,Shave/beard grooming,143.45"
"Extreme,MCB fuse replacement,Lucknow,AC Repair Service,74.7"
"Extreme,New wiring without casing (per 5m),Jaipur,AC Repair Service,341.47"
"Extreme,Single battery inverter installation,Lucknow,Washing Machine Repair,482.57"
"Extreme,Fan repair,Delhi,Hair colour,391.61"
"Fine,Bulb Holder Installation,Dehradun,Full home cleaning,246.64"
"Extreme,Minor fittings installation,Dehradun,Men/kids haircut,351.74"
"Extreme,Bulb,Lucknow,Full home cleaning,483.8"
"Fine,Cavity sensor,Jaipur,Massage,444.48"
"Extreme,Material Procurement Charges,Delhi,Washing Machine Repair,359.31"
"Fine,Switch/socket replacement,Jaipur,AC Repair Service,63.36"
"Extreme,Material Procurement Charges,Ahemdabad,Kitchen cleaning,169.36"
"Fine,Wash basin installation,Jaipur,Refrigerator Repair,208.84"
"Fine,Lights Uninstallation (per 20 m),Delhi,Water Purifier Repair,372.05"
"Extreme,Lantern Installation,Rishikesh,Washing Machine Repair,398.47"
"Fine,Mini home theater installation,Jaipur,Massage,325.73"
"Extreme,Switch/socket replacement,Dehradun,Plumber,269.15"
"Fine,Chandelier installation (upto 6 bulbs),Rishikesh,Plumber,210"
"Fine,Shower installation (wall mounted/ hand-held),Delhi,Microwave Repair,181.36"
"Extreme,Chandelier installation (more than 6 bulbs),Haridwar,Hair colour,279.55"
"Fine,Material Procurement Charges,Rishikesh,Home painting,381.04"
"Extreme,Fan uninstallation,Lucknow,Plumber,250.26"
"Extreme,Wash Basin Leakage Repair,Delhi,Carpenter,311.96"
"Fine,Ceiling fan regulator replacement,Ahemdabad,Chimney Repair,282.89"
"Fine,AC switchbox installation,Ahemdabad,Kitchen cleaning,450.2"
"Fine,Ceiling fan regulator replacement,Haridwar,Full home cleaning,111.74"
"Extreme,Bulb Holder Installation,Delhi,Shave/beard grooming,292.06"
"Extreme,Chandelier installation (upto 6 bulbs),Haridwar,Bathroom cleaning,74.1"
"Extreme,Decorative Lights Uninstallation (per 5m),Lucknow,Washing Machine Repair,72.06"
"Fine,Bulbs installation (upto 5 bulbs),Lucknow,Chimney Repair,394.34"
"Extreme,Minor fittings installation,Ahemdabad,Kitchen cleaning,396.35"
