Weather_condition,Service,Price_change_factor
Extreme,AC Repair Service,0.13718340839139956
Fine,Men/kids haircut,-50.61991370457118
Fine,Hair colour,-63.88001402286481
Extreme,Water Purifier Repair,18.4328013790041
Fine,Kitchen cleaning,16.6556491958022
Moderate,Microwave Repair,4.415284776497536
Fine,Face care,-4.433159749829555
Fine,Bathroom cleaning,-19.100439678878317
Moderate,Pest control,3.207775810740795
Moderate,Washing Machine Repair,-27.920809202547385
Extreme,Water Purifier Repair,-18.983356851791637
Fine,Kitchen cleaning,41.20546578393057
Extreme,AC Repair Service,10.675750479376454
Fine,Kitchen cleaning,-25.342292454171517
Moderate,Chimney Repair,-16.591621012790952
Extreme,Water Purifier Repair,18.409372249870007
Fine,Full home cleaning,-4.767618740897391
Moderate,Carpenter,24.69022423049669
Extreme,AC Repair Service,-19.572138817152492
Fine,Hair colour,29.552178738067866
Fine,Face care,-4.57908897600684
Fine,Face care,21.193931201118286
Fine,Hair colour,-2.0411039352889753
Fine,Men/kids haircut,1.3187648238289975
Fine,Men/kids haircut,9.311620283826498
Extreme,AC Repair Service,15.541800465642606
Fine,Home painting,5.486870264157233
Fine,Face care,-1.9775138512322588
Moderate,Microwave Repair,30.96569813262578
Fine,Bathroom cleaning,-10.82588361710117
Fine,Hair colour,-5.526237116166085
Fine,Face care,7.26003178750462
Fine,Men/kids haircut,-32.46027135871194
Moderate,Electrician,6.583157316932234
Fine,Hair colour,-28.830397070927813
Fine,Face care,-9.002176105969808
Fine,Face care,20.131959957875154
Fine,Kitchen cleaning,9.692843012565799
Moderate,Laptop Repair,12.273020176990382
Fine,Massage,14.394404160361333
Fine,Home painting,-23.50555991715735
Fine,Face care,-6.852547252740033
Fine,Hair colour,6.268649681452746
Fine,Men/kids haircut,3.0796929283888854
Moderate,Carpenter,-25.272058794746123
Extreme,Water Purifier Repair,16.623481980582785
Fine,Hair colour,-14.536906762853283
Fine,Home painting,21.128659895530262
Moderate,Washing Machine Repair,8.09084151651798
Fine,Full home cleaning,-6.666385765034867
Fine,Full home cleaning,6.664639729052794
Fine,Hair colour,0.9691967694138386
Moderate,Microwave Repair,7.860185029182497
Fine,Full home cleaning,12.33462066225938
Fine,Home painting,45.6515185008704
Fine,Face care,26.67728537204485
Fine,Home painting,18.023018644898446
Fine,Face care,-0.27718460496250924
Fine,Home painting,14.347908197319459
Extreme,AC Repair Service,9.892524339693114
Moderate,Microwave Repair,-5.408773077791987
Moderate,Carpenter,-21.553695932022276
Extreme,Refrigerator Repair,23.671268218100852
Extreme,AC Repair Service,-10.041953133757872
Fine,Home painting,-0.6737569564213818
Fine,Massage,-19.401635423297993
Extreme,Water Purifier Repair,-1.7582226535358445
Fine,Kitchen cleaning,16.269694348558296
Extreme,Refrigerator Repair,29.251649565056667
Fine,Men/kids haircut,-7.870504250005639
Moderate,Electrician,-24.257688579866787
Fine,Face care,-15.551026725170399
Moderate,Chimney Repair,-16.883701520505042
Fine,Bathroom cleaning,-19.937649391282555
Fine,Full home cleaning,-13.14874944919804
Moderate,Electrician,16.32214652174393
Moderate,Plumber,11.602344930538704
Fine,Home painting,-5.2392851367002695
Fine,Full home cleaning,22.55251171090165
Moderate,Chimney Repair,-25.927341129337158
Fine,Massage,5.311278853466087
Fine,Home painting,39.69597674902226
Fine,Face care,-7.306117679413524
Extreme,Water Purifier Repair,26.132495051907508
Fine,Massage,-27.70848140290248
Fine,Massage,-0.5915786086934577
Fine,Shave/beard grooming,-4.045026725097435
Fine,Face care,11.089165739620128
Fine,Shave/beard grooming,-3.7583832821035634
Moderate,Washing Machine Repair,-10.079083923111746
Moderate,Washing Machine Repair,-17.551525629838302
Fine,Bathroom cleaning,-11.793763048243562
Fine,Massage,-11.298267130235518
Fine,Kitchen cleaning,11.233114744703219
Fine,Shave/beard grooming,21.311151605743063
Extreme,AC Repair Service,-27.747923805194866
Moderate,Laptop Repair,10.064664450651438
Fine,Full home cleaning,-2.1626866200433676
Fine,Face care,-25.82659451595383
Fine,Kitchen cleaning,16.90357618264308
Fine,Full home cleaning,-3.227643837962235
Moderate,Washing Machine Repair,11.202181500170171
Fine,Men/kids haircut,-17.530053308464854
Extreme,Refrigerator Repair,5.266476869198805
Moderate,Plumber,8.716986615020177
Fine,Bathroom cleaning,-2.3666873602574583
Fine,Home painting,29.587655819906388
Moderate,Washing Machine Repair,5.355553213631104
Extreme,Water Purifier Repair,-18.184083100146182
Fine,Home painting,-15.90590985429419
Fine,Shave/beard grooming,-1.3745592857806193
Fine,Hair colour,-22.813305540530212
Fine,Kitchen cleaning,-24.262555043616093
Moderate,Plumber,25.63658577559113
Fine,Home painting,5.915170563177884
Moderate,Carpenter,-7.398099156511803
Fine,Full home cleaning,4.591631333183977
Moderate,Washing Machine Repair,28.963014700272357
Fine,Hair colour,7.8199106994161465
Moderate,Chimney Repair,2.59666987816195
Extreme,Water Purifier Repair,19.579562999166097
Extreme,AC Repair Service,-9.345260222945829
Fine,Full home cleaning,21.02389828115986
Moderate,Electrician,1.0942668630269512
Fine,Men/kids haircut,29.278958819925304
Fine,Bathroom cleaning,-7.628076072493078
Moderate,Pest control,19.602517805940515
Moderate,Electrician,29.801475917347723
Fine,Shave/beard grooming,-6.01325499841585
Fine,Hair colour,16.648963179077377
Moderate,Carpenter,1.9156646225314913
Moderate,Chimney Repair,-28.012270194105085
Fine,Home painting,-30.740001229784998
Fine,Bathroom cleaning,19.491841156657472
Fine,Hair colour,8.472437287322146
Fine,Men/kids haircut,7.091536543033285
Fine,Hair colour,11.780125508051922
Fine,Face care,18.460713259138856
Fine,Bathroom cleaning,-3.5397700500913927
Extreme,Water Purifier Repair,-22.167168879777623
Fine,Massage,-1.5911374518835455
Extreme,AC Repair Service,-11.231697123590171
Moderate,Laptop Repair,7.5367431296946386
Extreme,Water Purifier Repair,-10.877175719074346
Fine,Bathroom cleaning,-4.794938357884785
Moderate,Microwave Repair,10.01586646861771
Fine,Full home cleaning,-10.953816577703313
Moderate,Laptop Repair,25.227758036938262
Fine,Bathroom cleaning,25.010320454178753
Extreme,Refrigerator Repair,-5.889688329239559
Fine,Men/kids haircut,10.864978018017315
Fine,Massage,4.219056159886479
Fine,Shave/beard grooming,22.710696827241303
Fine,Kitchen cleaning,16.456466850985926
Fine,Shave/beard grooming,-7.175277326580818
Moderate,Washing Machine Repair,8.24425024617491
Fine,Hair colour,-10.424865234930621
Moderate,Chimney Repair,27.136804484157135
Fine,Hair colour,-2.4207502599646107
Fine,Shave/beard grooming,33.82151840623756
Fine,Home painting,-6.228153691006901
Fine,Bathroom cleaning,24.30455043993167
Fine,Men/kids haircut,8.894532565667516
Moderate,Washing Machine Repair,49.1260079055921
Fine,Home painting,-0.3373855934619334
Moderate,Plumber,-46.35488379733961
Fine,Face care,4.703841940320754
Extreme,Refrigerator Repair,-10.669612917089964
Fine,Face care,-28.037090382560038
Fine,Home painting,-21.762317737730925
Moderate,Carpenter,-32.82064402712222
Fine,Full home cleaning,-11.390268127969277
