Weather_condition,Service,Price_change_factor
Fine,Hair colour,-33
Fine,AC Repair Service,18
Fine,Laptop Repair,-11
Moderate,Bathroom cleaning,23
Extreme,Laptop Repair,3
Fine,Bathroom cleaning,34
Extreme,Bathroom cleaning,-47
Moderate,Plumber,40
Moderate,AC Repair Service,-21
Fine,Washing Machine Repair,-8
Fine,Washing Machine Repair,48
Fine,Full home cleaning,28
Extreme,Full home cleaning,-31
Fine,Chimney Repair,50
Fine,AC Repair Service,30
Fine,Washing Machine Repair,35
Fine,Hair colour,26
Fine,Hair colour,24
Fine,Chimney Repair,-11
Fine,Bathroom cleaning,30
Fine,Kitchen cleaning,-9
Fine,Bathroom cleaning,39
Moderate,Hair colour,26
Fine,Kitchen cleaning,8
Fine,Refrigerator Repair,-45
Extreme,Bathroom cleaning,-43
Fine,Full home cleaning,-6
Moderate,Bathroom cleaning,17
Extreme,Home painting,43
Moderate,Bathroom cleaning,-43
Moderate,Electrician,-33
Fine,Chimney Repair,29
Extreme,Kitchen cleaning,3
Moderate,AC Repair Service,47
Moderate,Laptop Repair,3
Extreme,Pest control,2
Fine,Plumber,-4
Moderate,AC Repair Service,-9
Fine,Full home cleaning,11
Moderate,Face care,44
Moderate,Full home cleaning,26
Fine,Carpenter,17
Extreme,Pest control,-14
Fine,Refrigerator Repair,-30
Moderate,Water Purifier Repair,-24
Fine,Massage,-31
Moderate,Face care,-40
Fine,Full home cleaning,-1
Fine,Plumber,-18
Fine,Pest control,-20
Fine,Bathroom cleaning,50
Fine,Washing Machine Repair,13
Fine,AC Repair Service,2
Fine,Washing Machine Repair,-15
Fine,AC Repair Service,46
Fine,Carpenter,-15
Moderate,Kitchen cleaning,-33
Extreme,Massage,-44
Extreme,Full home cleaning,38
Fine,Plumber,5
Fine,Face care,-33
Fine,Electrician,-45
Fine,Electrician,-33
Fine,Massage,16
Extreme,Electrician,-14
Moderate,Plumber,-23
Moderate,AC Repair Service,29
Moderate,Full home cleaning,48
Moderate,Plumber,48
Fine,Full home cleaning,-21
Fine,AC Repair Service,41
Extreme,Kitchen cleaning,-50
Fine,Refrigerator Repair,-42
Moderate,Hair colour,-20
Fine,Chimney Repair,15
Moderate,Full home cleaning,35
Fine,Electrician,25
Fine,Plumber,11
Fine,Plumber,25
Moderate,Microwave Repair,33
Fine,Chimney Repair,-17
Fine,Plumber,-27
Fine,Microwave Repair,32
Extreme,Full home cleaning,-41
Fine,Massage,30
Moderate,Home painting,-43
Moderate,Massage,-13
Moderate,Shave/beard grooming,41
Fine,Chimney Repair,37
Fine,Carpenter,28
Moderate,Electrician,16
Fine,AC Repair Service,-44
Fine,Washing Machine Repair,-41
Fine,Water Purifier Repair,39
Moderate,Kitchen cleaning,-27
Fine,Pest control,-38
Fine,Laptop Repair,12
Fine,Electrician,-50
Fine,Pest control,8
Fine,Chimney Repair,29
Moderate,Laptop Repair,1
Extreme,Carpenter,-15
Moderate,Carpenter,17
Moderate,Bathroom cleaning,-50
Moderate,Carpenter,8
Fine,Kitchen cleaning,-24
Moderate,Refrigerator Repair,43
Extreme,Full home cleaning,-3
Fine,Water Purifier Repair,-20
Fine,Washing Machine Repair,-3
Fine,Bathroom cleaning,-5
Fine,Massage,-50
Fine,Full home cleaning,48
Fine,Kitchen cleaning,-26
Fine,Washing Machine Repair,-32
Moderate,AC Repair Service,45
Moderate,Face care,31
Fine,Bathroom cleaning,20
Fine,Face care,22
Fine,Pest control,-33
Moderate,Washing Machine Repair,-31
Moderate,Electrician,16
Fine,Carpenter,-29
Fine,Massage,-25
Moderate,Washing Machine Repair,-18
Fine,Microwave Repair,-42
Fine,Kitchen cleaning,-36
Fine,Kitchen cleaning,40
Fine,Water Purifier Repair,21
Fine,Chimney Repair,35
Extreme,Washing Machine Repair,-37
Fine,Full home cleaning,-27
Fine,Bathroom cleaning,-31
Moderate,Water Purifier Repair,-25
Moderate,Electrician,11
